Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,352.586857,0.186111,0.036143,0.190113,0:00:19.188089
05:00:00,92.082478,0.046607,0.002485,0.049846,0:00:13.125246
05:30:00,73.912033,0.045575,0.006745,0.082129,0:00:15.200123
06:00:00,89.705613,0.049671,0.004467,0.066836,0:00:14.213264
06:30:00,97.633243,0.085141,0.026568,0.162997,0:00:15.566687
07:00:00,131.167537,0.304482,0.154701,0.393320,0:00:11.324636
07:30:00,74.738074,0.070022,0.026214,0.161909,0:00:14.914636
08:00:00,inf,0.172184,0.068016,0.260799,0:00:18.670776
08:30:00,103.350820,0.162818,0.122506,0.350008,0:00:16.655442
09:00:00,85.356276,0.144858,0.096254,0.310249,0:00:19.079103
09:30:00,267.272059,0.339644,0.394450,0.628052,0:00:28.105060
01:00:00,84.972780,0.045411,0.002250,0.047435,0:00:42.949277
10:00:00,323.763523,0.308975,0.214135,0.462747,0:00:23.685710
10:30:00,238.147821,0.221384,0.108882,0.329973,0:00:18.569364
11:00:00,585.854321,0.432497,0.304124,0.551475,0:00:22.760610
11:30:00,345.096951,0.360558,0.244776,0.494748,0:00:21.823409
12:00:00,298.730939,0.578106,0.578279,0.760446,0:00:22.145957
12:30:00,226.752655,0.400736,0.352539,0.593750,0:00:23.779328
13:00:00,808.700944,0.757602,0.640669,0.800418,0:00:21.299560
13:30:00,649.334011,0.470434,0.297483,0.545420,0:00:21.896718
14:00:00,629.185281,0.414211,0.231516,0.481162,0:00:25.592813
14:30:00,432.798014,0.354495,0.274849,0.524261,0:00:25.795906
01:30:00,89.760575,0.044768,0.002307,0.048035,0:00:39.029001
15:00:00,361.049868,0.354992,0.232856,0.482552,0:00:47.308508
15:30:00,193.494898,0.363956,0.410777,0.640919,0:00:27.027329
16:00:00,276.352640,0.486527,0.460468,0.678578,0:00:33.757897
16:30:00,319.748596,0.447726,0.347966,0.589886,0:00:34.280519
17:00:00,305.409808,0.569069,0.481388,0.693821,0:00:26.931692
17:30:00,156.144206,0.319589,0.182141,0.426780,0:00:32.021399
18:00:00,220.791690,0.409707,0.214660,0.463315,0:00:30.572992
18:30:00,209.925193,0.416045,0.260745,0.510632,0:00:34.540168
19:00:00,184.686816,0.640820,0.619219,0.786905,0:00:27.393805
19:30:00,210.991583,0.726164,0.829126,0.910563,0:00:26.118394
02:00:00,101.103629,0.047618,0.002816,0.053062,0:00:26.468400
20:00:00,156.220449,0.642710,0.703852,0.838959,0:00:27.253202
20:30:00,99.528310,0.600442,0.572774,0.756818,0:00:32.224733
21:00:00,132.014034,0.676321,0.714999,0.845576,0:00:30.659013
21:30:00,193.928193,0.611211,0.630609,0.794109,0:00:31.391644
22:00:00,122.318078,0.381003,0.345667,0.587935,0:00:34.260291
22:30:00,66.956359,0.164849,0.101910,0.319233,0:00:33.085934
23:00:00,243.571833,0.230507,0.060233,0.245423,0:00:32.937627
23:30:00,259.080561,0.166408,0.030289,0.174037,0:00:33.043310
24:00:00,239.052775,0.134967,0.020375,0.142740,0:00:35.170301
02:30:00,101.454203,0.047385,0.003090,0.055591,0:00:32.634876
03:00:00,91.466281,0.045750,0.002395,0.048937,0:00:33.696265
03:30:00,89.391327,0.044869,0.002273,0.047678,0:00:34.729257
04:00:00,59.914812,0.039126,0.001931,0.043940,0:00:32.384535
04:30:00,87.379579,0.045090,0.002254,0.047472,0:00:34.378283
