Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,82.708156,0.164065,0.109114,0.330323,0:02:20.657117
05:00:00,73.236651,0.142334,0.086858,0.294717,0:01:59.353623
05:30:00,103.016300,0.148025,0.090014,0.300023,0:03:10.390946
06:00:00,139.357015,0.158547,0.086193,0.293586,0:03:37.106589
06:30:00,135.181434,0.157653,0.084175,0.290129,0:02:35.324536
07:00:00,103.366371,0.312948,0.207005,0.454978,0:01:43.680828
07:30:00,82.620920,0.142496,0.074099,0.272212,0:02:11.562028
08:00:00,124.574104,0.274069,0.227938,0.477429,0:01:10.436228
08:30:00,142.032592,0.360616,0.429880,0.655652,0:01:30.142389
09:00:00,128.421426,0.329270,0.382927,0.618811,0:01:35.440958
09:30:00,356.257698,0.626483,0.820476,0.905801,0:02:08.788782
01:00:00,105.508780,0.152444,0.082735,0.287638,0:02:40.669462
10:00:00,322.467389,0.537724,0.650420,0.806486,0:01:51.142353
10:30:00,360.486538,0.791463,1.301013,1.140620,0:01:44.565233
11:00:00,287.192125,0.572833,0.655396,0.809566,0:01:55.635071
11:30:00,317.446992,0.745320,1.028797,1.014296,0:01:46.347015
12:00:00,313.639550,0.791305,1.063986,1.031497,0:01:40.813353
12:30:00,337.971214,0.818110,1.243980,1.115339,0:01:48.972881
13:00:00,384.313841,1.022459,1.926073,1.387830,0:01:09.570810
13:30:00,401.020764,0.719646,1.074352,1.036510,0:01:37.451129
14:00:00,330.164468,0.530596,0.653820,0.808592,0:01:32.498817
14:30:00,558.336349,0.653455,0.750389,0.866250,0:02:34.981159
01:30:00,71.535133,0.146995,0.087722,0.296179,0:04:12.439040
15:00:00,417.827123,0.517088,0.560162,0.748440,0:01:30.164273
15:30:00,251.100453,0.420149,0.391830,0.625963,0:02:11.066562
16:00:00,273.013179,0.459881,0.424072,0.651208,0:02:08.416265
16:30:00,234.092063,0.540801,0.492661,0.701898,0:03:25.208335
17:00:00,205.957980,0.580824,0.622289,0.788853,0:01:33.740252
17:30:00,144.948678,0.661652,0.689919,0.830613,0:01:36.652229
18:00:00,245.731068,0.890899,1.461369,1.208871,0:01:30.358237
18:30:00,144.901870,0.722427,0.899086,0.948202,0:01:48.343872
19:00:00,137.318917,0.812165,1.078022,1.038278,0:02:05.642870
19:30:00,136.221418,0.946246,1.496991,1.223516,0:02:34.745977
02:00:00,95.188501,0.147329,0.090319,0.300530,0:04:01.828223
20:00:00,144.442560,0.782091,1.016529,1.008231,0:01:31.013174
20:30:00,203.008922,1.210096,2.544618,1.595186,0:01:56.329861
21:00:00,174.457294,0.767572,1.063233,1.031132,0:01:42.118354
21:30:00,147.950193,0.552180,0.726632,0.852427,0:02:24.335124
22:00:00,115.577027,0.380169,0.305805,0.552996,0:02:02.018576
22:30:00,107.931680,0.297293,0.251572,0.501570,0:01:40.158482
23:00:00,121.128619,0.197947,0.106997,0.327105,0:02:03.689297
23:30:00,137.699052,0.143007,0.031341,0.177035,0:02:05.971628
24:00:00,106.566504,0.174203,0.101962,0.319315,0:03:03.727634
02:30:00,77.123970,0.162562,0.122888,0.350554,0:02:23.478117
03:00:00,145.053708,0.178128,0.124973,0.353516,0:02:40.974826
03:30:00,89.960834,0.193798,0.173104,0.416058,0:04:33.245602
04:00:00,72.190974,0.144134,0.092968,0.304907,0:05:36.104849
04:30:00,85.331833,0.139081,0.082185,0.286679,0:06:34.958718
