Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,123.133382,0.055751,0.004255,0.065234,0:00:45.124895
05:00:00,58.119982,0.045036,0.002687,0.051839,0:00:36.516189
05:30:00,43.411614,0.048490,0.008640,0.092952,0:00:40.558659
06:00:00,57.816419,0.049953,0.006617,0.081347,0:00:36.241947
06:30:00,77.329586,0.083741,0.028363,0.168413,0:00:45.105739
07:00:00,87.561389,0.316659,0.182672,0.427402,0:00:43.636020
07:30:00,60.773486,0.083180,0.029906,0.172934,0:00:36.748338
08:00:00,inf,0.219639,0.092658,0.304398,0:00:32.969794
08:30:00,163.371250,0.228370,0.164301,0.405340,0:00:38.491381
09:00:00,62.735485,0.139995,0.097532,0.312301,0:00:53.342036
09:30:00,591.103013,0.602125,0.711477,0.843491,0:00:43.228512
01:00:00,81.174745,0.044732,0.002290,0.047856,0:00:37.354219
10:00:00,441.930225,0.428111,0.378487,0.615213,0:00:48.704469
10:30:00,239.249038,0.232449,0.126595,0.355802,0:00:52.368930
11:00:00,462.090739,0.430459,0.402002,0.634036,0:00:48.371153
11:30:00,353.199387,0.433965,0.388202,0.623058,0:00:42.666630
12:00:00,425.871964,0.718931,0.971813,0.985806,0:00:44.747592
12:30:00,328.972491,0.532859,0.552697,0.743436,0:00:37.945240
13:00:00,571.152144,0.593963,0.514785,0.717485,0:00:37.761267
13:30:00,710.634254,0.528456,0.427634,0.653937,0:00:35.345447
14:00:00,557.153072,0.365968,0.233928,0.483661,0:00:36.539841
14:30:00,619.947083,0.495384,0.502893,0.709150,0:00:36.221394
01:30:00,79.675523,0.042880,0.002117,0.046006,0:00:48.588454
15:00:00,399.450171,0.478339,0.472826,0.687624,0:00:39.040736
15:30:00,350.442247,0.638551,0.790925,0.889340,0:00:38.525245
16:00:00,401.075562,0.692289,0.909123,0.953480,0:00:39.501360
16:30:00,519.383819,0.610403,0.682261,0.825991,0:00:34.439381
17:00:00,393.108504,0.715700,0.763603,0.873844,0:00:42.417962
17:30:00,175.630776,0.416075,0.293349,0.541617,0:00:38.515592
18:00:00,524.756041,1.012187,1.167702,1.080602,0:00:41.228242
18:30:00,276.402088,0.528674,0.396727,0.629863,0:00:48.586717
19:00:00,293.236408,0.835904,1.016910,1.008419,0:00:56.632604
19:30:00,309.401062,0.890955,1.299118,1.139788,0:01:08.468346
02:00:00,49.434181,0.041662,0.002634,0.051325,0:00:57.431500
20:00:00,233.318711,0.923758,1.389963,1.178967,0:01:00.627767
20:30:00,120.113690,0.927988,1.450836,1.204507,0:00:50.105032
21:00:00,271.356685,1.149018,2.345723,1.531575,0:00:56.795790
21:30:00,260.853423,0.737962,0.955671,0.977584,0:00:50.039119
22:00:00,142.443784,0.414707,0.449259,0.670268,0:00:58.796415
22:30:00,48.981100,0.147083,0.104214,0.322822,0:00:53.522584
23:00:00,186.222751,0.179753,0.042811,0.206908,0:01:16.742398
23:30:00,302.744795,0.196765,0.042396,0.205902,0:01:29.921153
24:00:00,227.668541,0.127431,0.018523,0.136098,0:01:32.822971
02:30:00,67.013628,0.042760,0.002131,0.046165,0:01:08.306326
03:00:00,104.661960,0.048587,0.002975,0.054547,0:01:10.321952
03:30:00,67.246388,0.040375,0.001935,0.043990,0:01:15.657209
04:00:00,48.672942,0.038538,0.002296,0.047914,0:01:13.203804
04:30:00,36.478920,0.041674,0.003652,0.060436,0:01:13.523359
