Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,42.000456,0.033468,0.001900,0.043590,0:00:42.860162
05:00:00,61.438592,0.044492,0.002582,0.050814,0:01:14.328620
05:30:00,74.332081,0.046941,0.007396,0.085997,0:00:55.855109
06:00:00,97.087336,0.051163,0.004861,0.069720,0:00:59.256500
06:30:00,116.329561,0.097137,0.030736,0.175317,0:01:00.697375
07:00:00,291.164079,0.296938,0.130298,0.360969,0:00:48.514731
07:30:00,78.978415,0.091305,0.032646,0.180681,0:01:02.549856
08:00:00,inf,0.264212,0.127406,0.356940,0:01:01.586618
08:30:00,205.308694,0.300640,0.210389,0.458682,0:03:55.054444
09:00:00,104.258166,0.154561,0.093035,0.305016,0:01:41.898573
09:30:00,531.288543,0.529113,0.649466,0.805894,0:08:37.535656
01:00:00,60.565533,0.040613,0.002210,0.047014,0:01:06.495999
10:00:00,489.872059,0.426703,0.425007,0.651926,0:05:43.256412
10:30:00,250.314401,0.258563,0.142944,0.378080,0:05:50.207035
11:00:00,465.949364,0.434851,0.461572,0.679391,0:06:30.262084
11:30:00,438.173245,0.442701,0.350813,0.592295,0:04:05.035256
12:00:00,519.904851,0.830613,1.099265,1.048459,0:06:33.315142
12:30:00,421.319139,0.573596,0.609381,0.780628,0:06:02.810121
13:00:00,394.717312,0.426289,0.338489,0.581798,0:05:12.890051
13:30:00,675.236873,0.496574,0.392785,0.626726,0:07:30.179724
14:00:00,489.813085,0.346073,0.226584,0.476009,0:03:52.135054
14:30:00,443.846920,0.400918,0.402083,0.634100,0:01:00.839752
01:30:00,65.176265,0.040038,0.002180,0.046690,0:01:14.821600
15:00:00,315.477996,0.396200,0.324037,0.569242,0:01:41.246620
15:30:00,320.579874,0.517979,0.557028,0.746343,0:01:02.555146
16:00:00,332.399606,0.581144,0.589408,0.767729,0:05:02.726409
16:30:00,429.498780,0.521412,0.513038,0.716267,0:04:38.061794
17:00:00,403.639214,0.654448,0.675720,0.822022,0:01:08.371774
17:30:00,120.664693,0.368859,0.268282,0.517960,0:00:53.024331
18:00:00,180.199372,0.343215,0.228222,0.477726,0:05:53.122810
18:30:00,246.541217,0.475235,0.353878,0.594876,0:04:43.407383
19:00:00,248.229092,0.714964,0.784299,0.885607,0:06:02.308805
19:30:00,251.289270,0.830846,1.031846,1.015798,0:08:23.168030
02:00:00,81.010139,0.043195,0.002344,0.048410,0:01:28.034919
20:00:00,191.310493,0.678645,0.742485,0.861676,0:04:52.473983
20:30:00,115.672226,0.631717,0.700101,0.836720,0:03:23.121497
21:00:00,140.031697,0.717479,0.895696,0.946412,0:02:07.627144
21:30:00,273.911248,0.781582,1.008543,1.004262,0:00:55.677254
22:00:00,171.469208,0.450548,0.376057,0.613235,0:05:12.274801
22:30:00,64.168409,0.164767,0.107735,0.328230,0:01:08.155576
23:00:00,203.287477,0.193381,0.046289,0.215150,0:00:58.373323
23:30:00,199.028170,0.119815,0.019653,0.140189,0:01:06.214677
24:00:00,111.808291,0.063003,0.005992,0.077410,0:02:00.573665
02:30:00,66.431097,0.040810,0.001935,0.043991,0:01:39.411010
03:00:00,82.285386,0.044467,0.002226,0.047176,0:01:35.995001
03:30:00,71.964845,0.042077,0.002041,0.045173,0:01:42.590984
04:00:00,59.131870,0.039587,0.002027,0.045026,0:01:27.769809
04:30:00,61.002510,0.040232,0.002075,0.045553,0:01:33.004844
