Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,107.207371,0.189444,0.138239,0.371806,0:01:46.612885
05:00:00,148.625482,0.145305,0.065712,0.256343,0:01:21.120387
05:30:00,70.849397,0.121851,0.075039,0.273933,0:01:13.841202
06:00:00,52.676920,0.123938,0.073221,0.270595,0:01:30.646999
06:30:00,134.681395,0.145777,0.059185,0.243280,0:01:26.127694
07:00:00,179.614765,0.309621,0.173872,0.416980,0:01:30.864732
07:30:00,71.653751,0.147492,0.059163,0.243235,0:01:04.405668
08:00:00,130.816692,0.307081,0.240483,0.490391,0:01:20.348973
08:30:00,136.202303,0.317635,0.271777,0.521323,0:01:23.696238
09:00:00,206.594376,0.327191,0.324276,0.569452,0:02:04.347821
09:30:00,321.667927,0.549092,0.643754,0.802343,0:05:10.342591
01:00:00,76.219218,0.114106,0.044894,0.211882,0:01:56.102219
10:00:00,309.610480,0.546351,0.675898,0.822130,0:01:41.448187
10:30:00,329.730707,0.708220,1.061770,1.030422,0:03:12.809291
11:00:00,596.674588,0.602744,0.596759,0.772502,0:03:38.099609
11:30:00,433.849978,0.662469,0.854133,0.924193,0:03:16.966000
12:00:00,473.590271,0.780707,1.018112,1.009015,0:03:51.538943
12:30:00,375.442354,0.657010,0.780036,0.883197,0:03:17.440482
13:00:00,399.535923,0.779930,1.065607,1.032282,0:03:46.945635
13:30:00,523.262149,0.883591,1.629742,1.276613,0:03:12.007690
14:00:00,308.584215,0.538064,0.652545,0.807802,0:03:15.934216
14:30:00,472.805020,0.563111,0.639924,0.799953,0:01:30.077000
01:30:00,75.784018,0.118881,0.050998,0.225827,0:01:54.316790
15:00:00,408.125966,0.441761,0.324448,0.569604,0:01:31.356601
15:30:00,297.516073,0.461464,0.402375,0.634330,0:02:18.840100
16:00:00,291.024322,0.506987,0.474056,0.688518,0:03:19.923164
16:30:00,279.984161,0.536098,0.495598,0.703987,0:01:42.446290
17:00:00,266.306505,0.598270,0.614751,0.784061,0:01:11.719765
17:30:00,134.266648,0.418349,0.320057,0.565736,0:02:18.554216
18:00:00,252.854388,0.811106,1.012501,1.006231,0:03:18.477754
18:30:00,128.183377,0.665146,0.771992,0.878631,0:01:25.816159
19:00:00,116.080759,0.758360,0.907767,0.952768,0:03:58.028632
19:30:00,198.585690,0.868830,1.238535,1.112895,0:03:26.764338
02:00:00,81.219784,0.122220,0.061074,0.247132,0:02:25.978056
20:00:00,145.953901,0.843889,1.074536,1.036598,0:02:57.538891
20:30:00,201.582982,0.836985,1.147371,1.071154,0:03:34.301441
21:00:00,133.908776,0.532547,0.518381,0.719987,0:02:08.515084
21:30:00,172.335402,0.541701,0.700025,0.836675,0:01:54.603979
22:00:00,101.525999,0.390345,0.338273,0.581612,0:03:10.482780
22:30:00,103.876915,0.301593,0.274352,0.523786,0:01:43.570753
23:00:00,103.467992,0.193638,0.082803,0.287756,0:02:19.860671
23:30:00,104.706890,0.119756,0.026136,0.161665,0:01:51.119539
24:00:00,114.243188,0.170781,0.091286,0.302136,0:01:41.739004
02:30:00,70.746852,0.119395,0.057895,0.240614,0:02:01.257485
03:00:00,74.649314,0.123840,0.059395,0.243711,0:02:09.908601
03:30:00,94.567523,0.145014,0.080761,0.284185,0:03:09.170028
04:00:00,64.196656,0.116577,0.058205,0.241257,0:02:20.341295
04:30:00,88.199507,0.138118,0.075556,0.274875,0:02:19.340952
